sem,prof,dept,course_nbr,course_name,a1,a2,a3,b1,b2,b3,c1,c2,c3,d1,d2,d3,f
Aggregate,"SUGGS, LAURA J",BME,379,TISSUE ENGINEERING,0,3,9,5,8,1,3,1,1,0,0,0,0
Aggregate,"BOS, PASCALE R",GSD,361E,TOLERANCE IN DUTCH CULTURE,0,8,7,5,0,0,0,2,0,0,0,0,0
Aggregate,"BIRKHOLZ, DANIEL J",E,349S,TOLKIEN AND MORRIS: HONORS,0,9,3,0,0,0,0,0,0,0,0,0,0
Aggregate,"HENKELMAN, GRAEME A",CH,393L,TOOLS & TECH OF COMP CHEMISTRY,0,11,1,5,0,0,0,0,0,0,0,0,0
Aggregate,"SIMMONS, CHRIS S",CSE,380,TOOLS/TECHNIQS COMPUTATNL SCI,0,41,11,0,1,1,0,0,2,0,0,0,1
Aggregate,"LEUSCH, TAD D",KIN,345,TOPICS IN ATHLETIC TRAINING,0,7,2,9,9,1,0,2,0,1,0,0,0
Aggregate,"PATZEK, TADEUSZ W",PGE,383,TOPICS IN FIELD SURVEILLANCE,0,5,0,3,0,0,0,0,0,0,0,0,0
Aggregate,"ALLCOCK, DANIEL J",M,367K,TOPOLOGY I,0,3,2,0,3,1,1,0,1,0,0,0,1
Aggregate,"AUSTIN, JENNIFER K",M,367K,TOPOLOGY I,0,7,3,2,1,0,0,1,0,0,0,0,1
Aggregate,"LEE, CHRISTINE R",M,367K,TOPOLOGY I,0,6,1,0,0,2,2,0,0,0,1,1,0
Aggregate,"STARBIRD, MICHAEL P",M,367K,TOPOLOGY I,0,27,10,10,15,2,1,0,2,0,0,0,2
Aggregate,"ANDERSON, DAVID A",LAW,427,TORTS,9,33,38,64,35,21,13,3,0,0,1,0,0
Aggregate,"CROSS, FRANK B",LAW,527,TORTS,0,2,7,8,8,0,0,0,0,0,0,0,0
Aggregate,"POWERS, WILLIAM C JR",LAW,527,TORTS,1,5,4,6,5,2,1,1,0,0,0,0,0
Aggregate,"ROBERTSON, DAVID W",LAW,427,TORTS,17,82,69,131,63,36,19,7,0,0,7,0,2
Aggregate,"STAPLETON, BARBARA J",LAW,527,TORTS,2,9,24,15,9,10,6,2,0,0,0,0,0
Aggregate,"WELLBORN, OLIN G",LAW,527,TORTS,5,16,16,30,16,8,7,2,0,0,0,0,0
Aggregate,"SAGE, WILLIAM M",T C,358,TOUGHEST PROBS IN HLTH PLCY,0,7,8,3,0,0,0,0,0,0,0,0,0
Aggregate,"GALL, JOSHUA",ENS,108D,TOWER CONCERT BAND,0,43,3,0,1,0,0,0,0,0,0,0,0
Aggregate,"SCOTT, W W",ACC,378,TPC ACC/TAX FOR MINERAL INDUS,0,54,18,9,7,1,0,1,0,0,1,0,0
Aggregate,"DANIELS, MARK L",M,375T,TPCS IN MATH: SYMMETRY-FRI,0,13,0,0,5,0,0,0,0,0,0,0,0
Aggregate,"BIRDSONG, DAVID P",FR,392K,TPCS IN SECOND LANG ACQUISITN,0,3,2,0,0,0,0,0,0,0,0,0,0
Aggregate,"HEARN, LINDSAY M",T D,303C,TRAINING THE SPEAKING VOICE,0,4,3,0,1,0,0,1,0,0,1,0,1
Aggregate,"HAERTEL, LORRAINE C",N,322,TRANSITION TO PROF NURSING,0,8,0,0,2,0,0,0,0,0,0,0,0
Aggregate,"MARTINDALE, ROWAN C",GEO,371T,TRANSITIONS IN HISTORY OF LIFE,0,4,4,2,3,0,0,0,0,0,0,0,0
Aggregate,"HABHAB, TRAVIS M",M S,375K,TRANSITN TO LIEUTENANT (IV-B),0,9,2,2,0,0,0,0,0,0,0,0,0
Aggregate,"STELLE, CHRISTOPHER N",M S,375K,TRANSITN TO LIEUTENANT (IV-B),0,9,6,0,0,0,0,0,0,0,0,0,0
Aggregate,"SCOTT, SUZANNE",RTF,331K,TRANSMEDIA STORYTELLING,0,2,4,4,5,6,0,1,0,0,1,0,1
Aggregate,"PERZYNSKI, BOGDAN P",ART,318C,TRANSMEDIA: DIGTL TIME-ART I,0,19,32,10,3,2,0,2,0,0,0,0,3
Aggregate,"STANLEY, JEFFREY C",ART,318C,TRANSMEDIA: DIGTL TIME-ART I,0,10,1,1,1,0,0,0,0,0,0,0,0
Aggregate,"PERZYNSKI, BOGDAN P",ART,338C,TRANSMEDIA: DIGTL TIME-ART II,0,3,12,5,0,0,0,0,0,0,0,0,0
Aggregate,"LUCAS, KRISTIN",ART,336V,TRANSMEDIA: EXPANDED MEDIA II,0,6,2,3,2,0,0,0,0,0,0,0,0
Aggregate,"SMITH, MICHAEL",ART,337C,TRANSMEDIA: PERFORMANCE ART II,0,5,0,2,3,0,0,0,0,0,0,0,0
