sem,prof,dept,course_nbr,course_name,a1,a2,a3,b1,b2,b3,c1,c2,c3,d1,d2,d3,f
Fall 2013,"ANDERSON, CHARLES O",T D,352T,KINETIC STORYTELLING,0,7,3,0,0,0,0,0,0,0,0,0,0
Fall 2013,"ANDERSON, EDWARD R",HDF,315L,RSCH METH IN HUMAN DEV/FAM SCI,0,21,9,6,11,6,2,3,0,2,0,1,2
Fall 2013,"ANDERSON, MARTA L",N,265,NUR CARE OF CHILDBEARING FAMS,0,29,0,0,2,0,0,0,0,0,0,0,0
Fall 2013,"ANDERSON, MICHAEL R",IRG,320F,FOUND INTL RELS/GLOAL STDS-FRA,0,5,5,4,0,0,0,0,0,0,0,0,0
Fall 2013,"ANDERSON, MICHAEL R",IRG,320F,FOUNDATN INTL RELS/GLOBAL STDS,0,18,24,15,16,10,6,11,3,0,0,2,1
Fall 2013,"ANDERSON, MICHAEL R",IRG,678HA,HONORS TUTORIAL COURSE,0,6,6,1,0,0,0,0,0,0,0,0,0
Fall 2013,"ANDERSON, ROBERT B",CMS,306M,PROFESSNL COMMUNICATION SKILLS,0,7,0,0,16,0,0,1,0,0,0,0,0
Fall 2013,"ANDERSON, RONALD B",P R,319,PRINCIPLES OF PUBLIC RELATIONS,0,23,2,5,42,2,0,4,0,0,1,0,0
Fall 2013,"ANDERSON, RONALD B",P R,352,STRATEGIES IN PUBLIC RELATIONS,0,22,3,3,2,0,0,0,0,0,0,0,0
Fall 2013,"ANDREWS, JEFFREY G",E E,351K,PROBABILITY & RANDOM PROCESSES,0,9,6,2,5,4,7,3,0,1,1,0,0
Fall 2013,"ANGEL, JACQUELINE L",P A,383C,"GENDER, HEALTH, AND SOCIETY",0,9,1,0,1,0,0,0,0,0,0,0,0
Fall 2013,"ANGEL, RONALD J",PBH,358D,HEALTH POLICY & HEALTH SYSTEMS,0,16,8,2,11,0,0,11,0,0,0,0,0
Fall 2013,"ANGEL, RONALD J",SOC,317M,INTRO TO SOCIAL RESEARCH,0,5,5,2,6,0,0,4,0,0,0,0,1
Fall 2013,"ANGEL, RONALD J",SOC,358D,HEALTH POLICY & HEALTH SYSTEMS,0,3,3,4,7,0,0,6,0,0,0,0,0
Fall 2013,"ANSLYN, ERIC V",CH,386J,ADVANCED ORGANIC CHEMISTRY,0,14,0,0,14,0,0,1,0,0,0,0,0
Fall 2013,"ANTOKOLETZ, ELLIOTT M",MUS,380,6-ADV STDS HIST MUS: 20TH CEN,0,13,1,0,5,0,0,0,0,1,0,0,0
Fall 2013,"ANTOKOLETZ, ELLIOTT M",MUS,379K,SYMPHNY: 18TH CENTRY-PRSNT,0,4,1,0,2,1,1,0,1,0,0,0,0
Fall 2013,"ANTOKOLETZ, ELLIOTT M",MUS,387L,SYMPHNY: 18TH CENTRY-PRES,0,4,0,2,4,1,0,0,0,0,0,0,0
Fall 2013,"APRILE, JAMIE D",C C,303,INTRO TO CLASSICAL MYTHOLOGY,0,61,31,17,27,19,9,20,4,3,3,3,7
Fall 2013,"APRILE, JAMIE D",C C,307D,INTRO TO ROMAN ARCHAEOLOGY,0,18,8,11,9,4,5,5,3,0,3,0,4
Fall 2013,"ARAPOSTATHIS, ARISTOTLE",E E,411,CIRCUIT THEORY,0,24,7,4,17,5,3,2,6,0,1,0,2
Fall 2013,"ARAPOSTATHIS, ARISTOTLE",E E,380K,INTRODUCTION TO SYSTEM THEORY,0,4,3,1,0,0,0,0,0,0,0,0,0
Fall 2013,"ARBOGAST, TODD J",M,348,SCI COMPUTATION IN NUM ANLY,0,9,4,3,3,2,3,3,2,4,2,1,2
Fall 2013,"ARBOGAST, TODD J",M,340L,MATRICES/MATRIX CALCULATNS-C S,0,16,9,12,15,15,8,5,7,4,3,3,1
Fall 2013,"ARCTUR, DAVID K",INF,385T,INTRO GEOGRAPHIC INFO SYSTEMS,0,14,0,1,1,0,0,0,0,0,0,0,0
Fall 2013,"ARENS, KATHERINE M",EUS,305,INTRO TO EUROPEAN STUDIES,0,31,15,5,0,3,1,1,0,0,1,0,2
Fall 2013,"ARESHIDZE, GIORGI",GOV,335M,RELIGION AND THE LIBERAL STATE,0,9,3,4,6,4,1,0,0,0,0,0,0
Fall 2013,"ARIMA, EUGENIO Y",GRG,360G,ENVIR GEOGRAPHIC INFO SYSTEMS,0,21,15,7,6,3,2,3,0,0,0,0,2
Fall 2013,"ARIMA, EUGENIO Y",GRG,396T,LAND CHANGE SCIENCE,0,6,2,1,0,0,0,0,0,0,0,0,0
Spring 2014,"ABADIA-REXACH, BARBARA I",SPN,611D,INTERMEDIATE SPANISH II,0,9,3,4,3,3,0,1,0,0,0,0,0
Spring 2014,"ABING, JESSE L",SPN,610D,INTERMEDIATE SPANISH I,0,8,3,4,2,1,1,1,0,0,0,0,0
Spring 2014,"ABRAHAM, LAWRENCE D",KIN,395,4-BIOMECHANICS OF SPORT,0,5,3,1,4,0,0,0,0,0,0,0,0
Spring 2014,"ABRAHAM, LEE E",T D,353T,COMEDY ACTING,0,9,6,2,1,0,0,0,0,0,0,0,0
Spring 2014,"ABRAMSON, JEFFREY B",CTI,303,COMPETING VISIONS GOOD LIFE,0,4,0,2,2,0,2,1,0,0,0,0,0
Spring 2014,"ABRAMSON, JEFFREY B",GOV,314,6-COMPETING VISIONS GOOD LIFE,0,2,2,2,8,2,0,5,0,1,0,0,1
Spring 2014,"ABRAMSON, JEFFREY B",LAW,397S,SMNR: JURY IN THRY & PRACTICE,0,5,1,3,2,0,0,0,0,0,0,0,0
Spring 2014,"ABREVAYA, JASON I",ECO,387M,WRITING SEMINAR IN ECONOMICS,0,9,0,1,1,0,0,0,0,0,0,0,0
Spring 2014,"ABUSALI, P A",ASE,372K,ATTITUDE DYNAMICS,0,10,2,4,4,1,4,2,1,1,0,0,1
Spring 2014,"ACIKMESE, BEHCET",ASE,370L,FLIGHT CONTROL SYSTEMS,0,21,11,13,7,7,11,8,5,1,0,1,1
Spring 2014,"ACKERMAN, LOTTY",P S,303,INTRO PHYS SCI I: MECH & HEAT,0,22,11,8,2,0,2,2,1,0,0,0,0
Spring 2014,"ACOSTA, WYANZA R",PHR,172E,NONPRES PHARMCOTHERPEUTICS II,0,31,22,18,26,9,6,1,0,0,0,0,0
Spring 2014,"ACOSTA, WYANZA R",UGS,302,SELF-CARE AND OTC PRODUCTS,0,16,1,0,1,0,0,0,0,0,0,0,0
Spring 2014,"ADAIR, JENNIFER K",EDC,371G,TEACHING YOUNG CHILDREN-E,0,15,1,1,0,0,0,0,0,0,0,0,0
Spring 2014,"ADAMS, MICHAEL W",LAH,350,IN SEARCH OF MEANING,0,7,2,1,0,0,0,0,0,0,0,0,0
Spring 2014,"ADAMS, PAUL C",URB,315,URBAN STUDIES RESEARCH METHODS,0,6,4,2,2,2,0,1,0,0,1,0,1
